2620508.84	3723579.10	2794919.07	3307211.81	2555082.59	3399595.74	2950292.84	3394880.39	2715883.85	3794037.62
3723579.10	3950681.58	3700815.61	4039723.20	3450616.68	4211142.94	3685177.50	4230489.73	3489288.08	4134989.47
2794919.07	3700815.61	2447760.97	2939384.71	2424136.08	2966781.19	2685806.09	3199724.76	2814272.69	3635003.60
3307211.81	4039723.20	2939384.71	3116492.82	2889677.79	3262628.55	3028796.83	3546393.69	3202686.54	3897527.87
2555082.59	3450616.68	2424136.08	2889677.79	2180392.13	2954905.51	2553849.54	3041389.72	2543518.31	3441297.34
3399595.74	4211142.94	2966781.19	3262628.55	2954905.51	3231122.45	3100384.66	3610635.03	3386555.76	4075229.55
2950292.84	3685177.50	2685806.09	3028796.83	2553849.54	3100384.66	2630249.44	3341338.40	2873790.72	3648257.02
3394880.39	4230489.73	3199724.76	3546393.69	3041389.72	3610635.03	3341338.40	3441108.64	3386366.67	4139964.77
2715883.85	3489288.08	2814272.69	3202686.54	2543518.31	3386555.76	2873790.72	3386366.67	2440636.96	3541637.03
3794037.62	4134989.47	3635003.60	3897527.87	3441297.34	4075229.55	3648257.02	4139964.77	3541637.03	4021097.93
