0.00	1683.64	1605.02	1905.54	2148.76	1965.22	2445.68	1663.65	945.54	1449.09
1683.64	0.00	886.24	1027.65	1143.08	1216.08	1191.19	950.79	1303.47	950.00
1605.02	886.24	0.00	517.31	601.25	701.47	913.75	418.28	1557.72	1416.67
1905.54	1027.65	517.31	0.00	469.79	412.18	677.49	596.38	1851.21	1676.47
2148.76	1143.08	601.25	469.79	0.00	617.70	460.51	684.35	2065.62	1830.74
1965.22	1216.08	701.47	412.18	617.70	0.00	828.58	843.67	1897.59	1880.24
2445.68	1191.19	913.75	677.49	460.51	828.58	0.00	948.70	2249.20	1913.24
1663.65	950.79	418.28	596.38	684.35	843.67	948.70	0.00	1660.27	1347.33
945.54	1303.47	1557.72	1851.21	2065.62	1897.59	2249.20	1660.27	0.00	1066.94
1449.09	950.00	1416.67	1676.47	1830.74	1880.24	1913.24	1347.33	1066.94	0.00
